Item,ReleaseType,WaveName,ReleaseYear,ProductLine,PropertyName,Manufacturer
Vinnie's RattlerATV,Vehicle,Wave 3,1995,Vintage Biker Mice,Biker Mice From Mars,Galoob
Whip-Kick Throttle,Figure,Wave 3,1995,Vintage Biker Mice,Biker Mice From Mars,Galoob
Air-Pump Rito Revolto,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Black Ninja Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Black Ranger's Shark Cycle,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Blue Ninja Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Blue Ranger's Shark Cycle,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Darting Tongue Pythor,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Deluxe Auto-Morphin Ninjor,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Deluxe Calcifire,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Deluxe Hornitor,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Deluxe Master Vile,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Deluxe Merrick Barbaric,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Deluxe Ninja Megazord,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Deluxe Ninja Megazord (Movie),Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Deluxe Scorpitan,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Deluxe Shogun Megazord,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Deluxe Silent Knight,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
