status,host,item_id,item_name,kind,url,content_type,bytes,error
downloaded,www.actionfigure411.com,10281,Ewok Fire Cart,packaged,https://www.actionfigure411.com/star-wars/images/ewok-fire-cart-6243.jpg,image/jpeg,1492804,
downloaded,www.actionfigure411.com,10287,Scout Walker (AT-ST),packaged,https://www.actionfigure411.com/star-wars/images/scout-walker-at-st-2231.jpg,image/jpeg,884980,
downloaded,www.actionfigure411.com,10778,Luke Skywalker (Hoth Gear),packaged,https://www.actionfigure411.com/star-wars/images/luke-skywalker-hoth-gear-13201.jpg,image/jpeg,517486,
downloaded,www.actionfigure411.com,10284,Cloud City Playset,packaged,https://www.actionfigure411.com/star-wars/images/cloud-city-playset-2235.jpg,image/jpeg,1650724,
downloaded,www.actionfigure411.com,10288,Tatooine Skiff,packaged,https://www.actionfigure411.com/star-wars/images/tatooine-skiff-6238.jpg,image/jpeg,1042358,
downloaded,www.actionfigure411.com,10285,Dagobah Action Playset,packaged,https://www.actionfigure411.com/star-wars/images/dagobah-action-playset-2236.jpg,image/jpeg,1700961,
downloaded,www.actionfigure411.com,10819,Admiral Ackbar,packaged,https://www.actionfigure411.com/star-wars/images/admiral-ackbar-13287.jpg,image/jpeg,440035,
downloaded,www.actionfigure411.com,10827,Ben (Obi-Wan) Kenobi (Electronic Power F/X),packaged,https://www.actionfigure411.com/star-wars/images/ben-obi-wan-kenobi-electronic-power-fx-13360.jpg,image/jpeg,401487,
downloaded,www.actionfigure411.com,10286,Hoth Ice Planet Adventure Set,packaged,https://www.actionfigure411.com/star-wars/images/hoth-ice-planet-adventure-set-2238.jpg,image/jpeg,1616010,
downloaded,www.actionfigure411.com,10835,Hoth Rebel Soldier with Anti-Vehicle Laser Cannon (Deluxe),packaged,https://www.actionfigure411.com/star-wars/images/hoth-rebel-soldier-with-anti-vehicle-laser-cannon-deluxe-13357.jpg,image/jpeg,696647,
downloaded,www.actionfigure411.com,10837,Luke Skywalker (Electronic Power F/X),packaged,https://www.actionfigure411.com/star-wars/images/luke-skywalker-electronic-power-fx-13363.jpg,image/jpeg,474285,
downloaded,www.actionfigure411.com,10836,Jabba the Hutt's Dancers,packaged,https://www.actionfigure411.com/star-wars/images/jabba-the-hutts-dancers-13368.jpg,image/jpeg,688407,
downloaded,www.actionfigure411.com,10838,Luke Skywalker Jedi Knight (Theater Edition),packaged,https://www.actionfigure411.com/star-wars/images/luke-skywalker-jedi-knight-theater-edition-13373.jpg,image/jpeg,460913,
downloaded,www.actionfigure411.com,10839,Millennium Falcon With Han Solo (Gunner Station),packaged,https://www.actionfigure411.com/star-wars/images/millennium-falcon-with-han-solo-gunner-station-13413.jpg,image/jpeg,454726,
downloaded,www.actionfigure411.com,10840,Millennium Falcon With Luke Skywalker (Gunner Station),packaged,https://www.actionfigure411.com/star-wars/images/millennium-falcon-with-luke-skywalker-gunner-station-13414.jpg,image/jpeg,421286,
downloaded,www.actionfigure411.com,10841,Mynock Hunt,packaged,https://www.actionfigure411.com/star-wars/images/mynock-hunt-13369.jpg,image/jpeg,820142,
