"InventoryID","Item","Type","Property","Line","Wave","ReleaseYear","Complete","Sealed","Boxed","Condition","Notes"
"731","Skitto and Toxcid","Figure","Sectaurs","Vintage Sectaurs","Sectaurs","1985","True","True","True","Near Mint","Canadian package"
"753","Kraang","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 1","2012","True","True","True","Mint","Purple Card"
"754","Splinter","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 1","2012","True","True","True","Mint","Purple Card"
"766","Ninja Stealth Bike","Vehicle","Teenage Mutant Ninja Turtles","2012 Nick","Wave 1","2012","True","True","True","Mint","Repaint with Raph"
"791","Metalhead","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 1","2012","True","True","True","Mint","New Packaging"
"793","The Rat King","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 2","2013","True","True","True","Mint","New Packaging"
"801","Tiger Claw","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 3","2014","True","True","True","Mint","Green Card"
"802","Shredder","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 1","2012","True","True","True","Mint","Green Card"
"804","Spider Bytes","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 2","2013","True","True","True","Mint","Green Card"
"806","Baxter Stockman","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 2","2013","True","True","True","Mint","Green Card"
"807","Fishface","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 1","2012","True","True","True","Mint","Green Card"
"809","Bebop","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 3","2014","True","True","True","Mint","Green Card"
"810","Rocksteady","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 3","2014","True","True","True","Mint","Green Card"
"811","Fugitoid","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 4","2015","True","True","True","Mint","Green Card"
"812","Dimension X Casey Jones","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 5","2016","True","True","True","Mint","Green Card"
"820","Snakeweed","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 2","2013","True","True","True","Mint","Green Card"
"821","Kirby Bat","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 3","2014","True","True","True","Mint","Green Card"
"826","Squirrelanoid","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 3","2014","True","True","True","Mint","Purple Card"
"827","Cockroach Terminator","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 2","2013","True","True","True","Mint","Purple Card"
"834","Shell Raiser","Vehicle","Teenage Mutant Ninja Turtles","2012 Nick","Wave 1","2012","True","False","True","Mint","Tan Vehicle"
