OnHand,Complete,Sealed,Boxed,Item,Type,Property,Line,Wave,match_status,match_strategy,matched_catalog_item_id,matched_catalog_franchise,matched_catalog_property_name,matched_catalog_product_line,matched_catalog_manufacturer,matched_catalog_release_year,matched_catalog_wave,matched_catalog_item_name
1,1,1,1,Birthday Bear with Happy Birthday Banner,Figure,Care Bears,Vintage Care Bears,Wave 2,matched,property+item,321323,Care Bears,Care Bears,Vintage Care Bears - Poseable Figures with Accessories,Kenner,1985,1985 Accessory Assortment,Birthday Bear with Happy Birthday Banner
1,1,1,1,Baby Tugs Bear with Big Digity Bucket,Figure,Care Bears,Vintage Care Bears,Wave 2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,1,Baby Hugs Bear with Sweet Lickity Lolipop,Figure,Care Bears,Vintage Care Bears,Wave 2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,1,Swiftheart Rabbit with Speedy Skateboard,Figure,Care Bears,Vintage Care Bears,Wave 2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,1,View Master,Accessory,Centurions,Centurions,Licensed Products,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,0,0,Vacation on Terror Island,Book,Centurions,Centurions,Licensed Products,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,1,Turbo Thruster (Toys for Bikes),Accessory,Centurions,Centurions,Licensed Products,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,0,Jake Rockwell (Pencil Top Eraser),Accessory,Centurions,Centurions,Licensed Products,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,0,Hacker (Pencil Top Eraser),Accessory,Centurions,Centurions,Licensed Products,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,0,Dr. Terror (Pencil Top Eraser),Accessory,Centurions,Centurions,Licensed Products,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,0,1,Orbital Interceptor,Vehicle,Centurions,Centurions,Vintage,matched,property+item,328115,Centurions,Centurions,Centurions Power Xtreme,Kenner,1986,Wave 1,Orbital Interceptor
1,1,0,0,Max Ray with Cruiser,Figure,Centurions,Centurions,Vintage,matched,property+item,328111,Centurions,Centurions,Centurions Power Xtreme,Kenner,1986,Wave 1,Max Ray with Cruiser
1,1,0,0,Jake Rockwell with Fireforce,Figure,Centurions,Centurions,Vintage,matched,property+item,328110,Centurions,Centurions,Centurions Power Xtreme,Kenner,1986,Wave 1,Jake Rockwell with Fireforce
1,1,1,1,Hacker,Figure,Centurions,Centurions,Vintage,matched,property+item,328109,Centurions,Centurions,Centurions Power Xtreme,Kenner,1986,Wave 1,Hacker
1,1,1,0,Doc Terror,Figure,Centurions,Centurions,Vintage,matched,property+item,328106,Centurions,Centurions,Centurions Power Xtreme,Kenner,1986,Wave 1,Doc Terror
1,1,0,0,Ace McCloud with Sky Knight,Figure,Centurions,Centurions,Vintage,matched,property+item,328105,Centurions,Centurions,Centurions Power Xtreme,Kenner,1986,Wave 1,Ace McCloud with Sky Knight
1,1,0,1,Wild Weasel,Vehicle,Centurions,Centurions,Vintage,matched,property+item,328120,Centurions,Centurions,Centurions Power Xtreme,Kenner,1986,Wave 1,Wild Weasel
1,1,1,1,Soccer Trophy with Null Figure,Figure,Computer Warriors,Computer Warriors,Vintage,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,,Romm,Figure,Computer Warriors,Computer Warriors,Vintage,matched,property+item,334831,Computer Warriors,Computer Warriors,Computer Warriors Basic Series,Mattel,1989,Wave 1,Romm
1,1,0,1,Pepsi Can with Gridd Figure,Figure,Computer Warriors,Computer Warriors,Vintage,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,,1,Pencil Sharpener with Minus Figure,Figure,Computer Warriors,Computer Warriors,Vintage,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,,Megahert,Figure,Computer Warriors,Computer Warriors,Vintage,matched,property+item,334842,Computer Warriors,Computer Warriors,Computer Warriors Vintage Figures,Mattel,1989,Wave 1,Megahert
1,1,1,1,Flashlight with Skannar Figure,Figure,Computer Warriors,Computer Warriors,Vintage,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,,Debugg,Figure,Computer Warriors,Computer Warriors,Vintage,matched,property+item,334841,Computer Warriors,Computer Warriors,Computer Warriors Vintage Figures,Mattel,1989,Wave 1,Debugg
1,1,0,1,Book with Indexx Figure,Figure,Computer Warriors,Computer Warriors,Vintage,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
