catalog_item_id,item,quantity_owned,complete,packaged,sealed,access_note_count
1465202,William Stout He-Man,1,1,1,1,0
1465201,Slamurai and Snake Troopers,1,1,1,1,0
1465200,Horde Zombie He-Man,1,1,1,1,0
1465199,God Skeletor,1,1,1,1,0
1465198,Dark Despot Skeletor,1,1,1,1,0
1465197,Commander Karg,1,1,1,1,0
1464457,Zodak,1,1,1,1,0
1464456,Zodac,1,1,1,1,0
1464455,Webstor,1,1,1,0,0
1464453,Tri-Klops,1,1,1,1,0
1464452,The Goddess,1,1,1,1,0
1464451,Teela,1,1,1,1,0
1464450,Stratos,1,1,1,1,0
1464448,Scareglow,1,1,1,1,0
1464447,Roboto,1,1,1,1,0
1464446,Mer-Man,1,1,1,1,0
1464444,King Randor,1,1,1,1,0
1464442,He-Ro,1,1,1,0,0
1464441,Faker,1,1,1,1,0
1464469,Grizzlor,1,1,1,1,0
1464468,Evil-Lyn,1,1,1,1,0
1464467,Eternian Palace Guards,1,1,1,0,0
1464465,DCUC Vs. MOTUC: Lex Luthor Vs. Skeletor,1,1,1,1,0
1464464,Count Marzo,1,1,1,1,0
1464463,Chief Carnivus,1,1,1,0,0
1464470,Gygor,1,1,1,1,0
1464462,Castle Grayskull Diorama Stands,1,1,0,0,0
1464460,Battlecat,1,1,1,1,0
1464458,Adora,1,1,1,1,0
1464461,Buzz-Off,1,1,1,1,0
1464471,Keldor,1,1,1,0,0
1464482,Tytus,1,1,1,1,0
1464479,She-Ra,1,1,1,0,0
1464478,Orko (Color Change),1,1,1,1,0
1464476,Optikk,1,1,1,1,0
1464475,Moss Man,1,1,1,1,0
1464474,Mo-Larr Vs. Skeletor,1,1,1,1,0
1464510,Shadow Beast,1,1,1,0,0
1464509,Queen Marlena with Cringer,1,1,1,0,0
1464508,Preternia Disguise He-Man,1,1,1,1,0
